,Discount_Percent,Discount_Price
737,-60%,$ 1.398.967
738,-23%,$ 1.985.990
739,-59%,$ 1.089.685
740,-32%,$ 699.900
741,-33%,$ 2.679.000
742,-10%,$ 1.799.900
743,-27%,$ 835.900
744,-16%,$ 3.863.916
745,-30%,$ 2.159.900
746,-25%,$ 3.426.990
747,-17%,$ 1.349.900
748,-50%,$ 493.990
749,-41%,$ 447.936
750,-25%,$ 4.089.989
751,-14%,$ 835.000
752,-51%,$ 489.900
753,-44%,$ 2.699.900
754,-45%,$ 703.900
755,-42%,$ 574.988
756,-20%,$ 689.990
757,-18%,$ 696.525
758,-52%,$ 1.215.990
759,-54%,$ 1.289.900
760,-20%,$ 3.399.900
761,-38%,$ 429.900
762,-27%,$ 1.399.775
763,-54%,$ 649.950
764,-10%,$ 4.949.910
765,-56%,$ 699.950
766,-30%,$ 599.900
767,-13%,$ 4.175.913
768,-21%,$ 789.900
769,-42%,$ 579.303
770,-41%,$ 496.900
771,-55%,$ 799.900
772,-64%,$ 701.990
773,-16%,$ 377.546
774,-46%,$ 1.599.800
775,-29%,$ 1.120.983
776,-10%,$ 539.779
777,-41%,$ 529.900
778,-36%,$ 1.899.900
779,-22%,$ 4.229.000
780,-26%,$ 3.879.900
781,-28%,$ 620.900
782,-38%,$ 2.159.770
783,-32%,$ 2.349.540
784,-24%,$ 379.605
785,-12%,$ 6.094.900
786,-17%,$ 3.960.757
787,-38%,$ 429.900
788,-38%,$ 429.900
789,-38%,$ 429.900
790,-22%,$ 1.629.900
791,-23%,$ 1.803.918
792,-41%,$ 579.900
793,-10%,$ 4.949.910
794,-56%,$ 699.950
795,-30%,$ 599.900
796,-13%,$ 4.175.913
797,-13%,$ 4.175.913
798,-14%,$ 3.869.914
799,-14%,$ 3.869.914
800,-35%,$ 1.234.935
801,-32%,$ 1.599.900
802,-16%,$ 499.900
803,-25%,$ 4.949.925
804,-37%,$ 437.000
805,-20%,$ 559.900
806,-10%,$ 1.799.900
807,-28%,$ 932.900
808,-28%,$ 932.900
809,-33%,$ 662.250
810,-68%,$ 699.900
811,-10%,$ 1.799.900
812,-10%,$ 1.799.900
813,-30%,$ 559.900
814,-10%,$ 2.699.900
815,-28%,$ 932.900
